id,name,region,latitude,longitude,name_alternates,wikipedia,prominence_rank
a48-ngarla,Ngarla,Western Desert (WA),-23.799711855686,117.60738836527,Yinhawangka|Panytyima|Inawonga|Inawangga|Inawonga for Inawongga|Ngaunmardi|Nalawonga|Ngalawongga|Ngalawonga|Ngarla warngga|Southern Padima for Ninanu,Ngarla language,122
w40-ngarla,Ngarla,SW WA / Pilbara,-20.26323035168,119.70523345191,Kudjunguru|Ngurla|Bedengo|Bidungo|Bidungu|Gnalla|Nga:la|Ngaea|Ngalana|Ngerla|Ngirla|Ngoorla|Palatoj|Pardoo|Pedong|Peedona|Peedong|Pidungu|Wanbarda,Ngarla language,123
w30-nhuwala,Nhuwala,SW WA / Pilbara,-21.538836634658,115.686013235,Ngoala|Noala|Nornamaronga|Jawanmala|Noalla|Noanamaronga|Noella|Nooanamaronga|Nooanamarongo|Nooela|Nuala|Nuela|Nunkaberi|Nuwala,Nhuwala language,124
d12-paakantyi-paakantji-barkindji,Paakantyi / Paakantji / Barkindji,Darling (W NSW/SW Qld),-31.633175083239,142.77798606908,Paakantyi|Baagandji|Darling|Barkindji|Ba:gundji|Baagandyi|Bagandji|Bahkunji|Bahkunjy|Bahroongee|Bahroonjee|Bakandi|Bakandji|Bakanji|Bandjagal|Bandjangali|Bargunji|Barindji|Barinji|Barkinghi|Barkinjee|Barkinji|Barkungee|Barkunjee|Barongee|Baroongee|Barrengee|Barrongee|Barundji|Barundyi|Barunga|Barungi|Beriait|Berri ait|Bpaagkon jee|Bpaaroon jee|Bpaaroo|Bungyarlee|Burunga|Kaiela|Kornoo|Kurnu|Mailpurglu|Mil pulko|Ngunnhalgri|Pa:kindzi|Paakanji|Paakantji|Paakanytji|Pakindji|Parkengee|Parkingee|Parkungi|Parkunji|Paroinge|Paroo|Parooinge|Paru|Paruindi|Paruindji|Paruinji|Parundji|S|Baigundji|Unelgo|Wimbaja|Barkandji,Paakantyi language,125
y64-pakanh,Pakanh,Cape York & Torres Strait,-14.591437067426,142.34773011747,Bakanha|Ayabakan|u|Pakanha|Bakanh|Ajabakan|Ajabatha|Aiabakan|Aw Ayan|Baganu|Bakanu|Gugu Jan|Jan|Kokojan|Pakanhu|Yir Mayan|Uw Ayan,Pakanha language,126
y195-rimanggudinhma,Rimanggudinhma,Cape York & Torres Strait,-14.486837942064,143.78250985892,Rima nggudininhma|Mbariman Gudhinma|Barimangudinma|Port Stewart Lamalama|Parimankutinma,Mbariman-Gudhinma language,127
d24-southern-anaiwan,Southern Anaiwan,Darling (W NSW/SW Qld),-30.709868104953,151.3524683397,Nganjaywana|Aneewan|Aniwan|Inuwon|Nganyaywana|Anaiwan|Anewan|Amberu|Anaywan|Ee na won|En nee win|Eneewin|Enniwon|Enuin|Inuwen|Nee inuwon|Newana|Nowan|Yenniwon|Dariwan|Eenewon|Narwon|Inuwan,Anewan language,128
w26-thalanyji,Thalanyji,SW WA / Pilbara,-22.522885548089,114.94086402115,Thalantji|Dhalandji|Dalandji|Djalandji|Inikurdira|Jinigudira|Talandji|Yinikurtira|Dalaindji|Dalangi|Dalanjdji|Dalendi|Djalandi|Djalendi|Mulgarnu|Talaindji|Talainji|Talandi|Talangee|Talanjee|Talanji|Talinje|Tallainga|Tallainji|Taloinga|Thalanji|Jinigudera|Jinigura|Jiniguri|Jarungura,Thalanyji language,129
c16-wakaya,Wakaya,Central Desert,-20.152907594635,136.16914722059,Wagaya|Wakaja|Akaja|Arkiya|Lee wakya|Ukkia|Waagai|Waagi|Wagai|Wagaiau|Wagaja|Waggaia|Warkaia|Warkya|Wogaia|Woorkia|Worgai|Worgaia|Workaia|Workia|Worrkii|Wakkaja|Wuga|Wagaia|Workii,Wagaya language,130
y132-1-wamin,Wamin,Cape York & Torres Strait,-18.781422577031,144.1411973235,,Wamin language,131
c17-warlmanpa,Warlmanpa,Central Desert,-19.249626535773,132.87100726782,Walmanba|Wanmampa|Walmamba|Walmunba|Wanmanpa|Warlmanba|Walmala|Walmanpa|Walpiri|Albura|Alpira|Alpiri|Elpira|Ilpara|Ilpira|Ilpirra|Nam bulatji|Njambalatji|Ulperra|Wailbri|Walbiri|Walbrai|Wal bri|Waljbiri|Waljpiri|Walpari|Wanaeka|Wanajaga|Wanajaka|Wanajeka|Waneiga|Waringari|Warrabri|Wolperi|Wolpirra,Warlmanpa language,132
a62-warnman,Warnman,Western Desert (WA),-22.234788799669,123.05241114393,Wanman|Mardu|Budijarra|Gardujarra|Giyajarra|Kartudjara|Keiadjara|Mandjildjara|Manyjilyjarra|Potidjara|Nanidjara|Nenidjara|Njanidjara|Wanman Wanman|Wanmanba|Wanmin|Warumala,Warnman language,133
k10-warrwa,Warrwa,Kimberley (WA),-17.275981416455,124.01362597767,Kimberley Area Languages|Warwa|Kolaruma|Warrwai|Waruwa|Warwai,Warrwa language,134
d1-wemba-wemba,Wemba Wemba,Darling (W NSW/SW Qld),-35.341221572939,144.1419050467,Wamba Wamba|Womba|Weumba|Waamba|Yambayamba|Yamba|Wiembar|Moulmein dialect Moolamiin|Lake Boga dialect|The neighbourhood of Lake Boga|probably Moorebat|the Lower Loddon dialect|Kerang|Loddon R|Wamba|Waimbi waimbi|Wambo wambo|Waimbu Waimbu|Wemberwemba|Jambajamba|Gourrmjanyuk|Gorrmjanyuk,Wemba Wemba dialect,135
l18-yandruwandha,Yandruwandha,Lake Eyre / Central SA,-28.325841856362,140.39187764775,Yandruwanhdha|Thayipilthirringuda|Biralipa|Endawarra|Gandruwanda|Innamouka|Jandrawanda|Jandruwalda|Jandruwanda|Jandruwanta|Jandruwunta|Janduruwanda|Jendruwonta|Ngurunta|Yanderawantha|Yanderawartha|Yandra Wandra|Yandrawontha|Yandrinwantha|Yandruwanda|Yandruwanta|Yandruwonta|Yandruwunta|Yanduwulda|Yantowannta|Yantruwanta|Yantruwunta|Biraliba,Yandruwandha language,136
e11-yugambal,Yugambal,SE Queensland,-29.757441239373,151.05011430544,Yugambal: Ngarrabul|Ngarrbal|Ngarabal|Kwiambal|Jugambal|Jukambal|Jukambil|Marbul|Narbul|Ngarabul|Ngarrabul|Pregalgh|Ucumble|Ukumbil|Yacambal|Yirimbil|Yoocomble|Yoocumbill|Yookambul|Yookumbil|Yookumbill|Yookumble|Yookumbul|Yucomble|Yugarabul|Yugumbil|Yukambal|Yukambil|Yukumba|Yukumbil|Yukumbul|Yurimbil,Yugambal language,137
e23-yugara,Yugara,SE Queensland,-27.708545143454,152.54684067589,Yagara|Yuggera|Gowar|Jagara|Koenpul|Ngugi|Nunukul|Turrubul|Biriin|Djanda|Jagarabal|Jandai|Jergarbal|Jinibara|Nighi|Terabul|Torbul|Turibul|Turrbal|Turrubal|Turubul|Yackarabul|Yagarabal|Yagarabul|Yaggara|Yerongban|Yeronghan|Yerongpan|Yiniburra|Yugarabal|Yugg ari|Yuggara|Jagera|Ninghi|Quandamooka,Turrbal language,138
y183-atampaya,Atampaya,Cape York & Torres Strait,-11.584849294384,142.32873003712,Anggamudi|Ankamuti|Bawtjathi|Lotiga|Nggamadi|Uradhi|Utangikwathiya|Utudhanamu|Atambaya|Atambayag,Atampaya dialect,139
n31-batjamalh,Batjamalh,Top End & Arnhem (NT),-13.208840010675,130.27404035772,Wadjiginj|Wadjiginy|Wadyiginy|Patjtjamal|Wagait|Waggite|Wogait|Batjamal|Batjemal|Bajamala|Batyamal|Batymal|Wadjigin|Wadjingy|Wogatj|Wagaitj|Worgait|Worgite|Waggait|Waggote|Waggate|Wagatsch|Waogatsch|Wadjinginj|Waggites|Wargad|Wogadj|Worgaid|Worgaidj|Wogath|Wogaity|Wogite|Wogaidj|Wogait is a misnomer for Wadyiginy|Their langauge Wadyiginy|which has another sub dialect called Batyamal|Wadyiginy has several variant spellings|namely|Wdadjingi|Amijangal|Ami|Wagaidj|Wagite|Waggute|Murinwargad|Wagaydy,Wadjiginy language,140
